epoch,loss,data_loss,pde_loss,loss_E_bc,loss_dE_bc
78,6.317514896392822,0.20548884570598602,6.317513942718506,1.0667215027959642e-10,1.0531939551583491e-06
79,5.601470947265625,0.20604537427425385,5.601469039916992,1.0304813946593328e-10,1.7007363339871517e-06
80,4.8420023918151855,0.20718801021575928,4.841999053955078,1.9485986435530123e-10,3.255924866607529e-06
81,4.979086875915527,0.20806507766246796,4.9790849685668945,1.7811035979420353e-10,2.0034308363392483e-06
82,4.375919342041016,0.20908977091312408,4.375917911529541,1.304700514292989e-10,1.5426820709762978e-06
83,3.762786388397217,0.21081171929836273,3.7627837657928467,1.3257896169793781e-10,2.604990186227951e-06
84,3.3408775329589844,0.2122175544500351,3.3408758640289307,1.1753539808090352e-10,1.7103390064221458e-06
85,3.5124032497406006,0.20603342354297638,3.512402057647705,1.1284001510958319e-10,1.2953456689501763e-06
86,3.478468894958496,0.20708955824375153,3.4784669876098633,1.3097922746396762e-10,1.8643276007423992e-06
87,2.999441623687744,0.2053024023771286,2.9994394779205322,1.1165538632562644e-10,2.0898671664326685e-06
88,2.5295000076293945,0.20717859268188477,2.5294976234436035,1.2069711896600666e-10,2.4736345949349925e-06
89,2.484266996383667,0.2100483775138855,2.4842638969421387,1.8804274803940757e-10,3.0588500976591604e-06
90,2.002037525177002,0.21162845194339752,2.0020360946655273,1.2104725555239781e-10,1.4020067737874342e-06
91,2.2948896884918213,0.20248979330062866,2.2948873043060303,1.1184383280626875e-10,2.3724232960375957e-06
92,2.3016369342803955,0.21183396875858307,2.3016340732574463,1.2236464619341803e-10,2.9087873372191098e-06
93,2.145829439163208,0.20741857588291168,2.1458263397216797,1.339488658880228e-10,3.17750959766272e-06
94,1.8991397619247437,0.2065141350030899,1.89913809299469,1.519378095560242e-10,1.7052767589120776e-06
95,1.7940471172332764,0.2089213728904724,1.7940447330474854,1.394542120669584e-10,2.401534629825619e-06
